,geometry_x,RCH_DID,MB_NM,RCH_LEN,유량(m3/day),추정유량(m3/day),구간체류시간(h),PEC_WS,rich_class
637,"LINESTRING (128.2991504370001 35.31664351400008, 128.30019453500006 35.317448408000075, 128.30211329200006 35.31896085200003, 128.30375556100012 35.32053558400003, 128.30522135900003 35.32163744300004, 128.30645000700008 35.32224731100007)",2019070100,남강,0.913885,,24330505.383778952,0.49202014294996743,1.217890721240444e-05,<__main__.take_map_df.<locals>.Rich object at 0x7f004cfb9460>
638,"LINESTRING (128.30645000700008 35.32224731100007, 128.30797927700007 35.322682060000034, 128.30954944400003 35.32276400500007, 128.31130852600006 35.32258673100006, 128.31262722100007 35.32279004700007, 128.31431748400007 35.32358275400003, 128.31552832900002 35.32457845400006, 128.31634509900005 35.325121410000065, 128.31664624400003 35.32532159900006, 128.31710485400004 35.32577149900004, 128.31751874400004 35.326545700000054)",2019072100,남강,1.196368,,25259481.2618022,0.6441041863919057,1.186517296292265e-05,<__main__.take_map_df.<locals>.Rich object at 0x7f004cfb9490>
639,"LINESTRING (128.33378905400002 35.36092826400005, 128.33599343100002 35.35988069000007, 128.33845825600008 35.35910138600008, 128.33972953500006 35.358120546000066, 128.34489310700008 35.35247355400003, 128.34764287000007 35.34750360600003, 128.35351659900005 35.339484120000066, 128.35579163600005 35.33826338100005, 128.3638941360001 35.33660799300003, 128.3680636590001 35.33580512700007, 128.37059454300004 35.33451091200004, 128.3792631760001 35.33339300500006, 128.3875210010001 35.33343598300007, 128.3926511190001 35.33407843800006, 128.3946848180001 35.334569921000025, 128.39502227700007 35.33480096000005, 128.39582532000009 35.33549183800005, 128.39598938100005 35.335786074000055)",2019080900,남강,7.119648,,26269937.24595959,3.833097410192147,1.1380163398645162e-05,<__main__.take_map_df.<locals>.Rich object at 0x7f004cfb94c0>
640,"LINESTRING (128.39598938100005 35.335786074000055, 128.39604044500004 35.33606599600006, 128.39551961300003 35.33821648800006, 128.3945371950001 35.33972191600003, 128.392928524 35.340988449000065, 128.3909460540001 35.342979944000035, 128.38845410400006 35.34529364900004, 128.38428092100003 35.34841753100005, 128.38279800400005 35.35078989500005, 128.38177707800003 35.352576904000045, 128.3820048030001 35.354613329000074, 128.38328849800007 35.356918939000025, 128.38381682500005 35.357703902000026)",2019100100,남강,2.930878,,27566039.75475956,1.5779348742225932,1.0863134297479015e-05,<__main__.take_map_df.<locals>.Rich object at 0x7f004cfb94f0>
641,"LINESTRING (128.31751874400004 35.326545700000054, 128.3174085710001 35.32768946900006, 128.31662223500007 35.33042499000004, 128.31505255000002 35.334168574000046, 128.31339908200005 35.336717742000076, 128.31224006500008 35.340667772000074, 128.31194451200008 35.34362407400005, 128.31210582000006 35.34564379400007, 128.31279710900003 35.34992532700005, 128.31281562300012 35.35505788800003, 128.3135752510001 35.358248837000076, 128.31492173200002 35.36057209000006, 128.3166196400001 35.362065345000076, 128.32094313400012 35.362703804000034, 128.32611140300003 35.36250669800006, 128.33049433200006 35.361526998000045, 128.33378905400002 35.36092826400005)",2019080100,남강,5.714144,,25852463.45889183,3.0763979578576066,1.165873117324444e-05,<__main__.take_map_df.<locals>.Rich object at 0x7f004cfb9520>
642,"LINESTRING (128.38381682500005 35.357703902000026, 128.38409930300008 35.35791160700006, 128.38496789700002 35.35851689800006, 128.3863728340001 35.35911604300003, 128.38992522 35.359813588000065, 128.3988642810001 35.36055438500006, 128.40460511900005 35.36059949300005, 128.40566056000011 35.36046803700003, 128.4069091660001 35.360211582000034, 128.40888859300003 35.35952412800003, 128.4113628670001 35.358791230000065, 128.41267698000001 35.35834608500005, 128.4138246660001 35.35834162500004, 128.41428549600005 35.358650656000066, 128.41450224100004 35.35905439700008, 128.41466617800006 35.35984347700003, 128.4147179570001 35.360352625000075)",2019100300,남강,3.083782,,27685435.739383418,1.6602557876171908,1.0759420313528546e-05,<__main__.take_map_df.<locals>.Rich object at 0x7f004cfb9550>
643,"LINESTRING (128.4147179570001 35.360352625000075, 128.41498916700004 35.36114045200003, 128.4159707330001 35.362460042000066, 128.41750310600003 35.362545702000034, 128.420072924 35.362041257000044, 128.42262818300003 35.362369269000055, 128.42478433100007 35.36295913500004, 128.4262073760001 35.36334666700003, 128.42757996800003 35.36452577100005, 128.42845482000007 35.36546464600008)",2019100700,남강,1.532099,,27802020.93090216,0.824856047526223,1.065425026562319e-05,<__main__.take_map_df.<locals>.Rich object at 0x7f004cfb9580>
644,"LINESTRING (128.42845482000007 35.36546464600008, 128.42804887700004 35.36660030400003, 128.4271200180001 35.367660012000044, 128.4258635650001 35.369432578000044, 128.42436518600005 35.37087400300004, 128.42398575800007 35.371265175000076, 128.42326302900005 35.37166038100003)",2019100900,남강,0.848048,,27881666.354549106,0.45657462173953395,1.0597855713379841e-05,<__main__.take_map_df.<locals>.Rich object at 0x7f004cfb95b0>
645,"LINESTRING (128.42326302900005 35.37166038100003, 128.42139126400002 35.37384441900008, 128.420131265 35.376654048000034, 128.41991950800002 35.378045163000024, 128.42082510900002 35.37951105800005, 128.4221617620001 35.381077348000076, 128.42427388600004 35.38402313000006, 128.42610857700004 35.38582959800004, 128.427969759 35.387916966000034, 128.42911044900006 35.38930971000008)",2019101100,남강,2.290944,,27956751.297546737,1.233405291005291,1.0560042676239006e-05,<__main__.take_map_df.<locals>.Rich object at 0x7f004cfb95e0>
646,"LINESTRING (128.42911044900006 35.38930971000008, 128.4297193970001 35.38975953500005)",2019101300,남강,0.074525,,28095484.531398367,0.04012299266685231,1.0473085600885642e-05,<__main__.take_map_df.<locals>.Rich object at 0x7f004cfb9610>
647,"LINESTRING (129.016812683 35.30337681900005, 129.01636826700008 35.30203126500004, 129.0148752020001 35.29816615300007, 129.0138329980001 35.294803975000036, 129.01358461100006 35.292137886000035, 129.01375447500004 35.29109201600005, 129.01364979700008 35.28997768600004, 129.0130977450001 35.28877204100007, 129.01221972300004 35.28760134700008, 129.01162580200003 35.28712608700005)",2022041200,낙동강하구언,1.898698,,529987.5504174943,0.943784349420301,0.0003785156410883674,<__main__.take_map_df.<locals>.Rich object at 0x7f004cfb9640>
