,RCH_DID,MB_NM,시설명,방류량,geometry,인구수,희석배율,C_local,PEC_local
0,1019020500,한강고양,서남,1560342.7,POINT (126.83120751949416 37.57306649067147),3861746.0,355.33723357510473,0.0034188760923183265,9.62149690287299e-06
1,1018101900,한강서울,중랑물재생센터,1177645.0,POINT (127.0621109054542 37.55709705219696),3367062.0,1.5616229241607404,0.003949629611786322,0.0025291826539425083
2,1018060100,한강서울,탄천,694547.4,POINT (127.08135147401619 37.49521356323576),1806674.0,8.113789210066873,0.003593333730317542,0.0004428675230876408
3,1019070500,한강고양,굴포,664550.0,POINT (126.76753691660872 37.546180710209185),1432436.0,1.7508623182214327,0.002977605885464331,0.0017006510760303835
4,3009060800,갑천,대전,621950.6,POINT (127.40743660896808 36.38006746850989),1417591.0,21.921606020805257,0.0031485798049717528,0.00014362906631856776
5,1019010502,한강고양,난지,551868.1,POINT (126.86319600875514 37.59261438774469),1520963.0,3.9115162644517154,0.0038071764696227203,0.0009733249748244059
6,5001080800,영산강상류,광주 제1,538048.1,POINT (126.83122845042354 35.15363955603452),1046200.0,24.378718148736603,0.0026860448682959155,0.0001101799057648614
7,2012140400,금호강,신천,467500.6,POINT (128.59423143693584 35.90711753855213),790489.0,40.51896566121742,0.0023357873801613783,5.7646767187768287e-05
8,1101130300,안성천,"수원(제1,제2)",447594.5,POINT (127.02384918553152 37.21012668265855),1196276.0,1.5247781642088685,0.003692039153020077,0.002421361506665917
9,2014010100,창녕합천보,서부,382971.9,POINT (128.49615416395702 35.81973304186386),826662.0,1.3342049920649504,0.0029818151322465476,0.0022349002964166618
10,3301091000,만경강,전주,329508.8,POINT (127.13353156140548 35.82661920562065),628097.0,2.861134979798144,0.002633172743119141,0.0009203245431311019
11,1018060100,한강서울,"성남(제1,제2)",325069.5,POINT (127.12384152143731 37.463992751943294),860388.0,17.33601952813168,0.0036562658885369377,0.00021090573199942497
12,3011130100,미호천,청주,250979.4,POINT (127.39365623970481 36.663245597346375),684137.0,10.05148462192006,0.0037655173373534645,0.00037462300137650366
13,1018150701,한강서울,석수,185013.3,POINT (126.89693098588836 37.41702477172283),526543.0,11.409490669049198,0.003931429963769141,0.00034457541338230166
14,1019030800,한강고양,일산,179357.0,POINT (126.72616672968823 37.65411148930149),455518.0,3142.600314614198,0.0035083818956151147,1.1163945600399465e-06
15,2012190300,금호강,달서천,176022.2,POINT (128.53673224465075 35.881896244286075),235279.0,2.8806526855572767,0.00184644072483392,0.0006409799883517429
16,2011030502,강정고령보,구미,171446.1,POINT (128.40422473544638 36.084367426865136),234696.0,1.529864042107476,0.001891026987421951,0.0012360751905881467
17,3101110701,삽교천,천안,162398.1,POINT (127.11967437764244 36.78021619799716),433666.0,3.754319427989244,0.0036888761944274054,0.0009825685494223148
18,1018150701,한강서울,안양,161631.0,POINT (126.88962835471371 37.41281042237871),456963.0,13.060041204966868,0.003905494463070366,0.000299041511567748
19,1018081500,한강서울,의정부,138073.3,POINT (127.05047102537148 37.7165949832923),357230.0,3.168733399917508,0.003574027322035271,0.0011279040774235896
20,1018030902,한강서울,구리,133123.8,POINT (127.1604248522436 37.58789048145047),271317.0,10.801819023832877,0.002815405467822477,0.0002606417920547116
21,2019030100,남강,진주,131942.7,POINT (128.12445483609326 35.19940850658131),289799.0,125.60525350189523,0.003034108903635328,2.4155907647521658e-05
22,1006060500,섬강,원주,128312.3,POINT (127.93790106648807 37.38801346986667),285558.0,4.986013329504592,0.0030742960789631097,0.0006165840072610817
23,1013020700,의암댐,춘천,120220.0,POINT (127.70935441646176 37.87659659780906),266661.0,8.112082854307978,0.0030640964322857004,0.00037772006121195993
24,1018030901,한강서울,진건,116601.6,POINT (127.1507093358752 37.632276968659006),296280.0,12.024875237674792,0.0035100837236817723,0.00029190188291388085
25,1018040600,한강서울,수지,114753.4,POINT (127.10463698328294 37.32600181239984),443323.0,1.7512246922191328,0.005336719182028872,0.003047421159455124
26,2012190300,금호강,북부,98417.7,POINT (128.5358725950357 35.883826689428965),227054.0,5.1521100691003765,0.0031869525337676237,0.0006185722919394278
27,5004010100,죽산보,광주 제2,95307.3,POINT (126.79395775255078 35.08832319305418),358705.0,106.37626844663687,0.0051991328321243395,4.8874931486551046e-05
28,2022041100,낙동강하구언,양산,93168.1,POINT (129.0209227567113 35.30364349053317),255350.0,1.071039140905946,0.0037860668037287518,0.003534947192057127
29,3301111900,만경강,익산,86858.0,POINT (126.97972303018747 35.923954841213266),201431.0,2.887298631012212,0.0032035841266157996,0.001109543741754453
30,1101111200,안성천,오산,78466.9,POINT (127.06373617628016 37.13792836114702),344591.0,4.204678875536516,0.006066484391451115,0.0014427937474005155
31,1022130601,한탄강,동두천,69977.2,POINT (127.05408294347518 37.94164308654191),101053.0,7.225496304510613,0.0019948594363168853,0.0002760861471995449
32,1101080100,안성천,통복,68265.7,POINT (127.06736420049249 36.9898170677498),232239.0,8.887143520899269,0.004699506496573852,0.0005287983124749087
33,1019031300,한강고양,김포,67778.3,POINT (126.70832188935482 37.64163518538635),266648.0,19.59589641018441,0.005434596543159268,0.00027733339824835936
34,3101140800,삽교천,아산,67259.8,POINT (126.97921500007604 36.79759399804247),282142.0,7.93116854616499,0.0057947114951961125,0.0007306251861206591
35,1019030600,한강고양,원능,65621.8,POINT (126.79547718658422 37.62020384538819),450378.0,8.931611918082076,0.009480880628382008,0.0010614971536311306
36,2010050500,감천,김천,61723.4,POINT (128.14020581415488 36.13326504508044),112821.0,182.06030781576226,0.0025249905278601605,1.3868978681588024e-05
